,Tweets,len,ID,Date,Source,Likes,coordinates,timestamp,SA
29,"RT @joseprull: Quan es pretén situar la unitat d’Espanya per sobre de drets fonamentals, per sobre de la llibertat, Espanya i Europa tenen…",139,953534527024005120,2018-01-17 07:48:41,Twitter for Android,0,,2018-01-17,0
30,"Estimats Jordis, si la justícia existís, estaríeu abraçant la família i respirant l'aire de la nostra terra, que us… https://t.co/m3P5H44NQr",140,953241569339019264,2018-01-16 12:24:35,Twitter for Android,18163,,2018-01-16,0
31,"RT @aleixsarri: Op-ed at @FT: ""The argument that the EU is guilty of double standards is bolstered by events in Spain, where elected politi…",140,953239663317266434,2018-01-16 12:17:00,Twitter for Android,0,,2018-01-16,-1
32,"RT @dirkvdbogaert: Bart De Wever, voorzitter #NVA, eist vrijlating #Catalaanse leiders. https://t.co/s9EuqkV3sz",111,953239631893590017,2018-01-16 12:16:53,Twitter for Android,0,,2018-01-16,0
33,RT @joseprull: No fos cas que se sabés la veritat... https://t.co/KaftU78rKK,76,953239338531348480,2018-01-16 12:15:43,Twitter for Android,0,,2018-01-16,0
34,.@marianorajoy ha tret 4 diputats el #21D i continua governant Catalunya des de Madrid. Que sigui demòcrata i respe… https://t.co/3bOWoL82w6,140,952886663537217536,2018-01-15 12:54:19,Twitter for Android,10925,,2018-01-15,0
35,"De Zayas: ""Espanya té presos polítics i la UE i l’ONU callen. Són presos polítics perquè se’ls acusa de defensar un… https://t.co/xzpJItZGS0",140,952833296521662464,2018-01-15 09:22:15,Twitter for Android,12770,,2018-01-15,0
36,"RT @lluis_llach: Hola Jordis, Oriol i Quim a la presó. Carles, Meritxell, Toni, Clara i Lluís a l'exili. Penso q potser no és tan important…",140,952831864594628608,2018-01-15 09:16:33,Twitter for Android,0,,2018-01-15,1
37,RT @Well086: España siempre ha tratado a Catalunya con proporcionalidad: https://t.co/Te7dha7nl1,96,952831837726011392,2018-01-15 09:16:27,Twitter for Android,0,,2018-01-15,0
38,"RT @joseprull: ""La unidad de la patria"" com a única raó. Val la pena llegir-lo. https://t.co/syD0NSyOTe",103,952831687976734720,2018-01-15 09:15:51,Twitter for Android,0,,2018-01-15,0
39,"Els hauria de caure tot el pes de la llei, però en l'actual règim espanyol només notaran el pes de les medalles del… https://t.co/HP6GVQUPj2",140,952579708474085378,2018-01-14 16:34:35,Twitter for Android,19727,,2018-01-14,0
40,"Deixeu-los que facin, no perdeu temps i energies a contestar-los. El club del 155 busca com digerir la seva derrota… https://t.co/qvunyzOkXk",140,952249168256487425,2018-01-13 18:41:08,Twitter for Android,15638,,2018-01-13,0
41,"RT @JuntsXCat: ?? Reunió del nostre grup parlamentari a Brussel·les, encapçalada pel president @KRLS https://t.co/1z5r3m8Ior",124,952248045412016133,2018-01-13 18:36:40,Twitter for Android,0,,2018-01-13,0
42,RT @jordialapreso: El TS decideix sobre la nostra llibertat. Sigui quina sigui la decisió us demano civisme y confiança en les institucions…,140,952247969687986176,2018-01-13 18:36:22,Twitter for Android,0,,2018-01-13,0
43,"Compartir la sang és compartir la vida. Si voleu, segur que podreu trobar una estona per fer el gest més solidari q… https://t.co/LEyseEZyGz",140,951795003092885504,2018-01-12 12:36:26,Twitter for Android,4937,,2018-01-12,0
44,"RT @joseprull: L'aeroport de BCN bat un cop més el seu propi rècord i tanca el 2017 amb 47,2M de passatgers, un 7,1% més respecte del 2016.…",140,951786803031412737,2018-01-12 12:03:51,Twitter for Android,0,,2018-01-12,0
45,#RepúblicaCatalana ? https://t.co/iVrJQtLL6a,44,951736263308120064,2018-01-12 08:43:02,Twitter for Android,11925,,2018-01-12,0
46,"(3) I si PSC, PP i Ciudadanos, amb l'ajuda inestimable dels seus mitjans, no haguessin omplert cada dia els diaris… https://t.co/tTX6nMtLHm",139,951524546200391680,2018-01-11 18:41:44,Twitter for Android,9376,,2018-01-11,0
47,"(2) Si els tribunals espanyols no mantinguessin innocents a presó, no podríeu intentar mantenir el que  vau usurpar… https://t.co/G1G4LTJfJP",140,951524542102560768,2018-01-11 18:41:43,Twitter for Android,8784,,2018-01-11,0
48,"(1) Si la majoria de la ciutadania no hagués votat República, podríeu governar. Si les dades no indiquessin el cont… https://t.co/PyBIdV9zeu",140,951524523525988353,2018-01-11 18:41:39,Twitter for Android,13208,,2018-01-11,0
49,#Catalonia won’t be silenced  https://t.co/JxIarmWItv,53,951043786158862337,2018-01-10 10:51:22,Twitter for Android,11385,,2018-01-10,0
50,"RT @jorditurull: Avui fa dos anys que el Parlament de Catalunya va escollir el 130è President de la Generelitat de Catalunya, el Molt Honor…",140,951043336936263681,2018-01-10 10:49:35,Twitter for Android,0,,2018-01-10,0
51,El meu compromís està intacte i treballaré per defensar la legitimitat de les nostres institucions. Tornaré amb tot… https://t.co/sXTNMBpWXB,140,950831038397321216,2018-01-09 20:45:59,Twitter for Android,16827,,2018-01-09,0
52,"RT @JuntsXCat: ?? Comença la intervenció del president @KRLS en l'acte de Montpeller que debat sobre la situació que viu Catalunya. 

? En…",139,950804510246662145,2018-01-09 19:00:34,Twitter for Android,0,,2018-01-09,0
53,"RT @senseficcio: Fa només tres mesos, més de dos milions de persones van votar en el referèndum de l'1 d'octubre.  El documental ""1-0"" del…",139,950675082980089858,2018-01-09 10:26:17,Twitter for Android,0,,2018-01-09,0
54,"Ha mort el conseller Antoni Subirà. Li devem moltes coses, especialment el paper internacional exitós de Catalunya… https://t.co/9NwcKj6wpS",139,950089854112747520,2018-01-07 19:40:47,Twitter for Android,8895,,2018-01-07,0
55,"De les coses que s'han de corregir a Europa, la política de refugiats hauria de ser la primera. El Mediterrani ha d… https://t.co/ztSMkiaYnK",140,950005794971537409,2018-01-07 14:06:46,Twitter for Android,12320,,2018-01-07,0
